a	あ
i	い
u	う
e	え
o	お
q	ん
+	+
*	*
-	ー
=	=
~	~
_	_
/	/
|	|
\	\
"	"
`	`
^	^
:	っ
;	;
.	。
,	、
(	(
)	)
{	{
}	}
[	「
]	」
<	<
>	>
!	!
#	#
$	$
%	%
&	&
@	@
?	?
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
ka	か
ki	き
ku	く
ke	け
ko	こ
kq	かい
kf	くう
kw	けい
kd	こう
kn	かん
kk	きん
kl	くん
km	けん
ky	こん
kg	こと
kr	から
kz	かも
sa	さ
si	し
su	す
se	せ
so	そ
sq	さい
sf	すう
sw	せい
sd	そう
sn	さん
sk	しん
sl	すん
sm	せん
sy	そん
st	した
sg	すう
ss	させ
sr	する
sz	します
ta	た
ti	ち
tu	つ
te	て
to	と
tq	たい
tf	つう
tw	てい
td	とう
tn	たん
tk	ちん
tl	つん
tm	てん
ty	とん
tg	とき
tr	たら
tz	ため
na	な
ni	に
nu	ぬ
ne	ね
no	の
nq	ない
nf	ぬう
nw	ねい
nd	のう
nn	なん
nk	にん
nl	ぬん
nm	ねん
ny	のん
ng	ん
nr	なる
fa	は
fi	ひ
fu	ふ
fe	へ
fo	ほ
fq	はい
ff	ふう
fw	へい
fd	ほう
fn	はん
fk	ひん
fl	ふん
fm	へん
fy	ほん
fg	ひと
f+	+
f*	*
f-	-
f=	=
f~	~
f_	_
f/	/
f|	|
f\	\
f"	"
f`	`
f^	^
f:	:
f;	;
f.	.
f,	,
f(	(
f)	)
f{	{
f}	}
f[	[
f]	]
f<	<
f>	>
f!	!
f#	#
f$	$
f%	%
f&	&
f@	@
f?	?
f0	0
f1	1
f2	2
f3	3
f4	4
f5	5
f6	6
f7	7
f8	8
f9	9
ma	ま
mi	み
mu	む
me	め
mo	も
mq	まい
mf	むう
mw	めい
md	もう
mn	まん
mk	みん
ml	むん
mm	めん
my	もん
mg	もの
ms	ます
ya	や
yu	ゆ
yo	よ
yq	やい
yf	ゆう
yw	い
yd	よう
yn	やん
yl	ゆん
yy	よん
yr	よる
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rq	らい
rf	るう
rw	れい
rd	ろう
rn	らん
rk	りん
rl	るん
rm	れん
ry	ろん
rg	れい
rr	られ
wa	わ
wi	うぃ
we	うぇ
wo	を
wq	わい
wf	う
ww	うぇい
wd	をう
wn	わん
wk	うぃん
wm	うぇん
wy	をん
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gq	がい
gf	ぐう
gw	げい
gd	ごう
gn	がん
gk	ぎん
gl	ぐん
gm	げん
gy	ごん
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
zq	ざい
zf	ずう
zw	ぜい
zd	ぞう
zn	ざん
zk	じん
zl	ずん
zm	ぜん
zy	ぞん
z+	＋
z*	＊
z-	─
z=	＝
z~	〜
z_	＿
z/	／
z|	｜
z\	＼
z	’
z"	”
z`	‘
z^	＾
z:	：
z;	；
z.	．
z,	，
z(	（
z)	）
z{	｛
z}	｝
z[	『
z]	』
z<	＜
z>	＞
z!	！
z#	＃
z$	＄
z%	％
z&	＆
z@	＠
z?	？
da	だ
di	ぢ
du	づ
de	で
do	ど
dq	だい
df	づう
dw	でい
dd	どう
dn	だん
dk	ぢん
dl	づん
dm	でん
dy	どん
dg	でき
ds	です
dr	である
dz	でも
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bq	ばい
bf	ぶう
bw	べい
bd	ぼう
bn	ばん
bk	びん
bl	ぶん
bm	べん
by	ぼん
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pq	ぱい
pf	ぷう
pw	ぺい
pd	ぽう
pn	ぱん
pk	ぴん
pl	ぷん
pm	ぺん
py	ぽん
kta	きゃ
ktu	きゅ
kto	きょ
ktq	きゃい
ktf	きゅう
ktd	きょう
ktn	きゃん
ktl	きゅん
kty	きょん
va	しゃ
vi	し
vu	しゅ
ve	しぇ
vo	しょ
vq	しゃい
vf	しゅう
vw	しぇい
vd	しょう
vn	しゃん
vk	しん
vl	しゅん
vm	しぇん
vy	しょん
vg	しゅう
ca	ちゃ
ci	ち
cu	ちゅ
ce	ちぇ
co	ちょ
cq	ちゃい
cf	ちゅう
cw	ちぇい
cd	ちょう
cn	ちゃん
ck	ちん
cl	ちゅん
cm	ちぇん
cy	ちょん
tti	てぃ
ttu	とぅ
ttk	てぃん
ttl	とぅん
nta	にゃ
ntu	にゅ
nto	にょ
ntq	にゃい
ntf	にゅう
ntd	にょう
ntn	にゃん
ntl	にゅん
nty	にょん
fta	ひゃ
ftu	ひゅ
fto	ひょ
ftq	ひゃい
ftf	ひゅう
ftd	ひょう
ftn	ひゃん
ftl	ひゅん
fty	ひょん
ha	ふぁ
hi	ふぃ
hu	ふ
he	ふぇ
ho	ふぉ
hq	ふぁい
hf	ふう
hw	ふぇい
hd	ふぉう
hn	ふぁん
hk	ふぃん
hl	ふん
hm	ふぇん
hy	ふぉん
mta	みゃ
mtu	みゅ
mto	みょ
mtq	みゃい
mtf	みゅう
mtd	みょう
mtn	みゃん
mtl	みゅん
mty	みょん
rta	りゃ
rtu	りゅ
rto	りょ
rtq	りゃい
rtf	りゅう
rtd	りょう
rtn	りゃん
rtl	りゅん
rty	りょん
gta	ぎゃ
gtu	ぎゅ
gto	ぎょ
gtq	ぎゃい
gtf	ぎゅう
gtd	ぎょう
gtn	ぎゃん
gtl	ぎゅん
gty	ぎょん
la	じゃ
li	じ
lu	じゅ
le	じぇ
lo	じょ
lq	じゃい
lf	じゅう
lw	じぇい
ld	じょう
ln	じゃん
lk	じん
ll	じゅん
lm	じぇん
ly	じょん
dti	でぃ
dtu	でゅ
dtf	でゅう
dtk	でぃん
dtl	でゅん
bta	びゃ
btu	びゅ
bto	びょ
btq	びゃい
btf	びゅう
btd	びょう
btn	びゃん
btl	びゅん
bty	びょん
pta	ぴゃ
ptu	ぴゅ
pto	ぴょ
ptq	ぴゃい
ptf	ぴゅう
ptd	ぴょう
ptn	ぴゃん
ptl	ぴゅん
pty	ぴょん
xa	う゛ぁ
xi	う゛ぃ
xu	う゛
xe	う゛ぇ
xo	う゛ぉ
xq	う゛ぁい
xf	う゛う
xw	う゛ぇい
xd	う゛ぉう
xn	う゛ぁん
xk	う゛ぃん
xl	う゛ん
xm	う゛ぇん
xy	う゛ぉん
xva	ぁ
xvi	ぃ
xvu	ぅ
xve	ぇ
xvo	ぉ
xya	ゃ
xyu	ゅ
xyo	ょ
